rankid,rank,song,artist,year
"491","91","Your Good Thing (Is About to End)","Lou Rawls","1969"
"492","92","Baby, I'm for Real","The Originals","1969"
"493","93","Oh Happy Day","Edwin Hawkins Singers","1969"
"494","94","Love Me Tonight","Tom Jones","1969"
"495","95","Mr. Sun, Mr. Moon","Paul Revere & the Raiders","1969"
"496","96","Laughing","The Guess Who","1969"
"497","97","My Whole World Ended (The Moment You Left Me)","David Ruffin","1969"
"498","98","Soul Deep","The Box Tops","1969"
"499","99","Hooked on a Feeling","B.J. Thomas","1969"
"500","100","Sweet Cream Ladies","The Box Tops","1969"
"501","1","Bridge Over Troubled Water","Simon & Garfunkel","1970"
"502","2","(They Long to Be) Close to You","The Carpenters","1970"
"503","3","American Woman","The Guess Who","1970"
"504","4","Raindrops Keep Fallin' on My Head","B.J. Thomas","1970"
